ds,yhat,yhat_lower,yhat_upper
2021-05-19,1823.1314260883116,1766.5523854623875,1892.4679062775617
2021-05-20,1823.6546436194285,1763.5094877721197,1887.0700319995383
2021-05-21,1824.839129576566,1763.680841045395,1883.3472278353838
2021-05-24,1826.5737276771174,1761.1012244508156,1887.4516518063815
2021-05-25,1829.6386262979509,1766.6520885857606,1892.4445777329252
2021-05-26,1830.666533680369,1765.9851695273376,1898.27779591775
2021-05-27,1831.7510278611521,1766.6017781686603,1896.7779355384766
2021-05-28,1830.7049030734815,1764.6576892648986,1895.2392181890991
2021-06-01,1829.7921613069934,1766.8308690918368,1892.1203585033015
2021-06-02,1829.9745487030132,1763.8603293270319,1893.5985444277514
2021-06-03,1829.1234502234613,1769.1398320949502,1892.1180335825713
2021-06-04,1827.4374315427722,1765.1285879914667,1891.5259745638405
2021-06-07,1819.4513795079902,1754.4769127465254,1880.7977459204876
2021-06-08,1820.3636625274826,1753.778196220017,1879.651524041363
2021-06-09,1818.6262825137956,1757.3105972896042,1881.0220522868929
2021-06-10,1816.9948085571132,1754.1561559121587,1883.0618613856398
2021-06-11,1814.3233864306394,1754.7419233642513,1876.9944039955853
2021-06-14,1804.931704178782,1743.0569340815855,1865.2756153845125
2021-06-15,1805.8937363933417,1738.858698418172,1862.7978046676078
2021-06-16,1804.1694125390409,1744.678401716972,1868.261414850903
2021-06-17,1801.690057815832,1736.819404948882,1865.2858825119074
2021-06-18,1799.236096776564,1740.7973851134966,1863.9781265614208
2021-06-21,1792.6188271805415,1730.950098347751,1859.9367481073334
2021-06-22,1793.0767551729089,1729.1402023577948,1856.327569291268
2021-06-23,1792.1191718225248,1727.4110161204435,1854.4940051385686
2021-06-24,1791.3461996749322,1725.1830877873263,1859.495456475109
2021-06-25,1789.8896551307128,1724.600605742736,1851.8524050245903
2021-06-28,1784.1505820209459,1718.25945767988,1850.1311155901374
2021-06-29,1786.064280124824,1725.4838078789485,1845.8404059920583
2021-06-30,1786.4414956899725,1725.6867725230106,1852.1407556271001
2021-07-01,1787.7007157104226,1728.9901679641032,1849.2115618269233
2021-07-02,1786.7418272093253,1722.6928240748648,1851.586394773088
2021-07-06,1786.4725074711516,1721.9316636181834,1845.8816806310624
2021-07-07,1786.7399140080163,1719.6306732650803,1850.9399156640668
2021-07-08,1788.284632116162,1724.7213945673202,1848.9413667362182
2021-07-09,1789.3475690942241,1725.2237704556244,1854.5259597433987
2021-07-12,1789.6862558905723,1725.1822805022503,1854.235992203625
2021-07-13,1794.0782216087432,1727.9798761840027,1858.0705131858492
2021-07-14,1794.4730366547665,1731.5511776500964,1856.5597037363652
2021-07-15,1795.266059503936,1730.7193899981592,1859.978889550938
2021-07-16,1796.0082347987188,1737.0493672114146,1859.9856725638783
2021-07-19,1794.5675030460452,1731.685587666849,1858.0235521389702
2021-07-20,1799.1536438048447,1734.7201876477989,1864.1156160152134
2021-07-21,1802.9813961551386,1737.3374313029037,1865.0102631953614
2021-07-22,1805.8555176753237,1746.460376075247,1871.1443251962914
2021-07-23,1806.5550135127437,1739.9631265600156,1870.968415214741
2021-07-26,1807.6415058629664,1743.926487765459,1865.7388502361262
2021-07-27,1810.8722055634555,1751.8889637187551,1876.4194099651804
2021-07-28,1812.654336681575,1752.3998310710774,1884.5668609821116
2021-07-29,1814.5134690029022,1753.0469622818416,1876.728620507093
2021-07-30,1814.4524704429537,1756.937578552099,1871.3537390265026
2021-08-02,1810.7998754497887,1744.6801142386685,1877.9456531509352
2021-08-03,1812.6063823056718,1745.1924516001047,1873.850620182246
2021-08-04,1811.1838464721313,1752.0490821990325,1878.5691277666488
2021-08-05,1811.6952406640637,1747.3758020669777,1874.7319975710234
2021-08-06,1809.75677492646,1742.5922814910418,1871.3632927622396
2021-08-09,1803.621562005167,1743.236372675722,1869.9904315110311
2021-08-10,1806.2237724409754,1745.2111094702207,1872.5440202166055
2021-08-11,1806.279069163818,1738.2543640209312,1862.400749820432
